Mean steps per day 2019;;Mean steps per day 2020;;change;;;;Gem step 2019;Gem step 2020;;year;gender;bmi;living;stap_om_1_aantal;stap_om_2_aantal;stap_om_3_aantal;stap_om_4_aantal;stap_om_5_aantal;stap_om_6_aantal;stap_om_7_aantal;;Kolom1;Kolom3;Kolom4;Kolom5;Kolom6;Kolom7;Kolom8;Kolom9;Kolom10;Kolom11;Kolom12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7346;22;;3954;19;;;;8178,857143;3384;;2019;Female;20.3;Moved_out;6290,00;4786,00;6892,00;10372,00;5937,00;8936,00;14039,00;;;Female;25.4;Living_with_parents;NA;4492,00;0,00;1747,00;3382,00;1837,00;8846,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8551;17;;4892;23;;;;6048,285714;5850;;2019;Female;19.4;Living_with_parents;9612,00;11649,00;5085,00;5468,00;3739,00;0,00;6785,00;;;Female;20;Living_with_parents;8321,00;2195,00;6038,00;5609,00;5077,00;6836,00;6874,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9755;6;;5830;11;;;;9501,714286;4590,142857;;2019;Female;18.1;Living_with_parents;11663,00;10089,00;10532,00;6381,00;5840,00;10035,00;11972,00;;;Female;21;Living_with_parents;5982,00;3519,00;1735,00;7499,00;3364,00;3018,00;7014,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10960;3;;6767;8;;;;6620;4092,428571;;2019;Female;21;Living_with_parents;9061,00;9820,00;5146,00;410,00;8697,00;8815,00;4391,00;;;Female;20;Living_with_parents;2022,00;3837,00;3670,00;2045,00;5198,00;4372,00;7503,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12165;2;;7705;4;;;;5980,714286;6529,714286;;2019;Female;23.2;Moved_out;11133,00;4877,00;6055,00;14708,00;0,00;0,00;5092,00;;;Female;20.4;Living_with_parents;5219,00;9176,00;4873,00;1979,00;3431,00;7989,00;13041,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
More;2;;More;3;;;;4159,571429;1710,285714;;2019;Female;21.8;Moved_out;0,00;8657,00;1796,00;8704,00;4371,00;3261,00;2328,00;;;Female;NA;Living_with_parents;0,00;0,00;4396,00;1417,00;958,00;0,00;5201,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;7337,43;3776,857143;;2019;Female;NA;Moved_out;5925,00;11048,00;3191,00;17565,00;4688,00;1689,00;7256,00;;;Female;20.4;Moved_out;667,00;7268,00;2259,00;1898,00;3502,00;4105,00;6739,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;5821,71;2601,571429;;2019;Female;20.4;Moved_out;3852,00;4734,00;8217,00;5134,00;8185,00;4875,00;5755,00;;;Female;18.4;Living_with_parents;2090,00;1467,00;3375,00;2913,00;3554,00;2493,00;2319,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;4988,14;4571,428571;;2019;Female;20.8;Living_with_parents;4160,00;5108,00;4996,00;2228,00;971,00;7520,00;9934,00;;;Female;21.6;Living_with_parents;4934,00;8001,00;2822,00;1992,00;3590,00;5797,00;4864,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;4047,86;3168,571429;;2019;Female;23;Living_with_parents;3702,00;470,00;8289,00;1063,00;2513,00;3196,00;9102,00;;;Female;21;Living_with_parents;558,00;4515,00;2979,00;4476,00;4465,00;214,00;4973,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;3274,57;3073,714286;;2019;Female;19.4;Living_with_parents;2607,00;4198,00;2799,00;2010,00;618,00;4782,00;5908,00;;;Female;21.1;Moved_out;3031,00;900,00;3311,00;11363,00;2107,00;804,00;0,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;6987,14;3325;;2019;Female;22.6;Living_with_parents;5002,00;5788,00;6586,00;9510,00;5225,00;6865,00;9934,00;;;Female;23;Moved_out;2886,00;1891,00;4276,00;1197,00;4183,00;3414,00;5428,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;6025,57;4790,857143;;2019;Female;21.6;Living_with_parents;8242,00;5733,00;3494,00;7133,00;1401,00;4155,00;12021,00;;;Female;21.2;Living_with_parents;5070,00;6372,00;11683,00;1997,00;794,00;7047,00;573,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;9293,14;1520,285714;;2019;Female;24.5;Moved_out;8046,00;9414,00;14032,00;10776,00;4707,00;6995,00;11082,00;;;Female;22;Moved_out;2652,00;803,00;731,00;745,00;541,00;1138,00;4032,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;6351,43;7117,142857;;2019;Female;19.1;Moved_out;8020,00;6033,00;5051,00;7402,00;5019,00;6365,00;6570,00;;;Female;16.6;Living_with_parents;20315,00;7181,00;3337,00;4047,00;4844,00;4498,00;5598,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;6696,29;4662;;2019;Female;20.6;Living_with_parents;5675,00;7552,00;14464,00;8719,00;2899,00;3486,00;4079,00;;;Female;22.2;Living_with_parents;7053,00;3643,00;6864,00;1115,00;4222,00;7855,00;1882,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;6431,00;4439,714286;;2019;Female;21;Moved_out;4567,00;5000,00;12406,00;8585,00;4479,00;5930,00;4050,00;;;Female;20.1;Moved_out;1700,00;2466,00;4362,00;3102,00;4961,00;9522,00;4965,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;3062,71;5224,285714;;2019;Female;17.8;Moved_out;4000,00;1548,00;1800,00;4149,00;1980,00;2973,00;4989,00;;;Female;20;Moved_out;8801,00;4020,00;4154,00;3475,00;3384,00;10178,00;2558,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;6555,29;5319,571429;;2019;Female;20.9;Living_with_parents;8238,00;11563,00;5441,00;4342,00;1410,00;5325,00;9568,00;;;Female;17.6;Living_with_parents;13014,00;1509,00;3404,00;10546,00;3488,00;906,00;4370,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;5369,00;1285,571429;;2019;Female;20.2;Living_with_parents;5957,00;6613,00;6686,00;884,00;3898,00;8529,00;5016,00;;;Female;19;Moved_out;1348,00;526,00;610,00;1482,00;3062,00;837,00;1134,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;4398,71;2616,857143;;2019;Female;20.5;Living_with_parents;8876,00;3637,00;4508,00;1514,00;0,00;4016,00;8240,00;;;Female;18.6;Living_with_parents;1938,00;1719,00;1679,00;1631,00;4656,00;1118,00;5577,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;4886,71;3568,285714;;2019;Female;21.9;Moved_out;6886,00;3038,00;5891,00;6034,00;1763,00;2398,00;8197,00;;;Female;NA;Living_with_parents;912,00;3766,00;4184,00;6053,00;4135,00;2019,00;3909,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
T Test: Two-Sample Assuming Unequal Variances;;;;;;;;6267,00;4258,714286;;2019;Female;18;Moved_out;4728,00;15236,00;4148,00;7203,00;1932,00;5676,00;4946,00;;;Female;18;Moved_out;4850,00;797,00;5069,00;7209,00;2374,00;3482,00;6030,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;7407,57;4040,714286;;2019;Female;23.5;Moved_out;15082,00;14061,00;5166,00;3351,00;8459,00;5734,00;0,00;;;Female;NA;Moved_out;3006,00;2225,00;5507,00;1339,00;5040,00;6129,00;5039,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Gem step 2019;Gem step 2020;;;;;;7589,43;3042,857143;;2019;Female;19;Moved_out;7496,00;19900,00;1624,00;4960,00;5533,00;9197,00;4416,00;;;Female;21.6;Living_with_parents;885,00;3230,00;2347,00;2934,00;4595,00;3521,00;3788,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Mean;6856,207027;4104,625887;;;;;;8474,71;5385,857143;;2019;Female;22.4;Moved_out;7266,00;14292,00;9149,00;4807,00;10988,00;7853,00;4968,00;;;Male;21.5;Moved_out;4950,00;1083,00;6555,00;5266,00;5969,00;6423,00;7455,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Variance;4224450,652;3015721,644;;;;;;5321,43;8102,857143;;2019;Male;27.8;Living_with_parents;9304,00;1136,00;7600,00;5368,00;847,00;8703,00;4292,00;;;Male;21;Moved_out;12430,00;2268,00;9565,00;7877,00;2951,00;8973,00;12656,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
